year,chairs_professorship,faculty_achievement,student_achievement,alumni_achievement,initiatives
1988,0,0,0,0,1
1989,0,0,0,0,1
1990,0,0,0,0,1
1991,0,0,0,0,2
1992,2,0,0,0,3
1993,0,0,0,0,2
1994,1,0,0,0,1
1995,1,0,0,0,2
1996,2,0,0,0,5
1997,2,1,0,0,1
1998,2,1,0,0,2
1999,1,0,0,0,1
2000,0,0,0,0,7
2001,0,1,0,0,1
2002,1,0,0,0,2
2003,3,1,1,0,1
2004,2,2,2,0,3
2005,0,7,2,0,3
2006,1,4,2,0,2
2007,0,4,5,0,2
2008,0,10,11,0,2
2009,0,5,11,4,4
2010,2,8,17,1,4
2011,3,6,4,14,1
2012,3,15,22,22,2
2013,6,6,15,18,9
2014,0,6,10,10,4
